English;Norsk
Waiting 'til marriage;Venter til ekteskapet
A tiny horse;En bitteliten hest
A can of whoop-ass;Ta tå dej brill'n
Dental dams;Latex maske med kondom
Old-people smell;Lukten av gamle folk
Genghis Khan;Genghis Khan
Authentic Mexican cuisine;Autentisk meksikansk mat
Oversized lollipops;Gigantiske slikkepinner
Keanu Reeves;Aksel Hennie
Drinking alone;Drikke alene
The American Dream;Den Amerikanske Drømmen
Taking off your shirt;Ta av deg skjorta
Giving 110%;Gi 110%
Flesh-eating bacteria;Kjøtt-etende bakterier
Child abuse;Barnemishandling
A cooler full of organs;En isboks full av organer
A moment of silence;Et øyeblikks stillhet
The Rapture;Bortrykkelsen
Keeping Christ in Chrismas;Avkristning av julen
Robocop;Robocop
That one gay Teletubby;Den homofile teletubbien
Pooping back and forth. Forever.;Bæsje fram og tilbake. For alltid.
Being a motherfucking sorcerer;Være en helvetes trollmann
Jewish fraternities;Kristne folkehøyskoler
Edible underpants;Spiselige truser
Poor people;Fattige
All-you-can-eat shrimps for $4.99;Pizzabuffet
Britney Spears at 55;Britney Spears som 50-åring
That thing that electrocutes your abs;Den greia som gir støt til magemusklene dine
The folly of man;Menneskets dumhet
Fiery poops;Bæsj som svir
A murder most foul;Drap i sin groveste form
Me time;Tid for meg
The inevitable heat death of the universe;Universets uungåelige varmedød
Nocturnal emissions;Nattlige utslipp
The hardworking Mexican;Polske håndtverkere
Natalie Portman;Natalie Portman
Waking up half-naked in a Denny's parking lot;Våkne halvnaken i en snøfonn
Nipple blades;Piercede brystvorter
Assless chaps;Jeans med hull på rompa
Full frontal nudity;Naken og blottet
Ronald Reagan;Jens Stoltenberg
Vehicular manslaughter;Bildrap
Menstruation;Menstruasjon
Pulling out;Trekke ut i tide
Picking up girls at the abortion clinic;Sjekke damer på abortklinikken
The homosexual agenda;Den homofile agendaen
The Holy Bible;Den Hellige Bibelen
World peace;Verdensfred
Dropping a chandelier on your enemies and riding the rope up;Slippe en lysekrone på fiendene dine og henge på tauet
Testicular torsion;Kramper i underlivet
The milk man;Postmannen
A time-travel paradox;Tidsreiseparadoks
Guys who don't call;Gutter som ikke ringer
Eating the last known bison;Spise den siste kjente blåhvalen
Darth Vader;Darth Vader
Scalping;Skalpering
Homeless people;Hjemløse
The Worlds of Warcraft;World of Warcraft
Gloryholes;Rasteplass-sex
Saxophone solos;Saksofon-solo
Sean Connery;Sean Connery
God;Gud
Intelligent design;Intelligent design
Friendly fire;Vådeskudd
Keg stands;Shotte halvlitere
Eugenics;Rasehygiene
The People's Elbow;En albue i øyet
The heart of a child;Et barnehjerte
Seduction;Forførelse
Licking things to claim them as your own;Slikke på ting for å sikre seg
A salty surprise;En salt overraskelse
Poorly-timed Holocaust jokes;Dårlig timede Holocaust-vitser
My sex life;Mitt sex-liv
Altar boys;Altergutter
Forgetting the Alamo;Quisling
72 virgins;72 Jomfruer
Raping and pillaging;Voldtekt og plynding
Pedophiles;Pedofile
Eastern European Turbo-Folk music;Øst-Europesisk Turbo-folkemusikk
A snapping turtle biting the tip of your penis;En snappeskilpadde som biter av tuppen av penisen din
My collection of high-tech sex toys;Min samling avanserte sexleketøy
A middle-aged man on roller skates;En middelaldrende mann på rulleskøyter
The Blood of Christ;Kristi blod
Half-assed foreplay;Middelmådig forspill
Free samples;Gratis vareprøver
Douchebags on their iPhones;Klyser med nesa i iPhonen
Wearing underwear inside-out to avoid doing laundry;Bruke undertøyet på begge sider for å unngå klesvask
Republicans;Fremskrittspartiet
The glass ceiling;Kjønnsbarrieren
A foul mouth;Stygg i munnen
Jerking off into a pool of children's tears;Runke i et basseng av barnetårer
Getting really high;Bli skikkelig rusa
The deformed;Deformerte
Explosions;Eksplosjoner
The Ãœbermensch;Overmennesket
Donald Trump;Olav Thon
Sarah Palin;Kristin Halvorsen
Attitude;Fordommer
Crumpets with the Queen;Te med dronningen
Frolocking;Danser
Team-building exercises;Lagøvelser
Repression;Undertrykkelse
Road head;Avsuging i bilen
A bag of magic beans;En pose magiske bønner
An asymmetric boob job;Penis mellom asymetriske pupper
Dead parents;Døde foreldre
Public ridicule;Offentlig uthenging
A mating display;Parringsrituale
A mime having a stroke;En mimekunstner som får et slag
Stephen Hawking talking dirty;Griseprat fra Stephen Hawking
African Children;Afrikanske barn
Mouth herpes;Munnherpes
Overcompensation;Overkompensering
Bill Nye the Science Guy;Fysikk på Roterommet
Bitches;Bærter
Italians;Italienere
Have some more kugel;Spis opp maten din!
A windmill full of corpses;En vindmølle full av lik
Her Royal Highness, Queen Elizabeth II;Kong Olav V
Crippling debt;Bunnløs gjeld
Steroider;Steroider
A stray pube;Kjønnshår
Passing a kidney stone;Pisse ut en nyrestein
A brain tumor;En hjernesvulst
Kim Jong-Il;Kim Jong-Il
Hope;Håp
9oz. of sweet Mexican black-tar heroin;100 gram svart meksikansk tjære-heroin
Incest;Incest
Grave robbing;Gravplyndring
Asians who aren't good at math;Asiatere som ikke er gode i matte
Alcoholism;Alkoholisme
(I am doing Kegels right now.);Jeg bruker vaginakuler akkurat nå
Justin Bieber;Justin Bieber
The Jews;Jødene
Bestiality;Dyresex
Winking at old people;Vinke til gamle mennesker
Kids with ass cancer;Unger med rumpekreft
Loose lips;Tyster
Auschwitz;Auschwitz
Civilian casualties;Sivile mål
Inappropriate yodeling;Upassende jodling
Being on fire;I full fyr og flamme
A vajazzled vagina;Juvel-Vagina
Riding off into the sunset;Ri inn i solnedgangen
Exchanging pleasantries;Utveksle høflighetsfraser
My relationship status;Min sivile status
Shaquille O'Neal's acting career;Aqua-Lenes skuespillerkarriere
Being fabulous;Å være fantastisk
Lactation;Melkespreng
Not reciprocating oral sex;Oralsex uten gjenytelse
Sobbing into a Hungry-Man Frozen Dinner;Gråte i en fjordland-middag
My genitals;Genitaliene mine
Date rape;Sovevoldtekt
Ring Pops;Tyggegummiklyse
GoGurt;Yogurt på tube
Lumberjack fantasies;Tømmerhogger-fantasier
The gays;De homofile
Scientology;Scientologi
Estrogen;Estrogen
Police brutality;Politivold
Passable transvestites;Overbevisende transvesitter
The Virginia Tech Massacre;Anders Behring Breivik
Tiger Woods;Tiger Woods
Dick Fingers;Pølsefingre
Racism;Rasisme
Glenn Beck being harried by a swarm of buzzards;Audun Lysbakken på flukt fra en flokk rovfugler
Surprise sex !;Overraskelses-sex !
Classist undertones;Hentydninger om klasseforskjeller
Booby-trapping the house to foil burglars;Sette feller for å fange innbruddstyver
New Age music;New Age-musikk
PCP;LSD
A lifetime of sadness;Trist som faen
Doin't it in the butt;Gjøre det i rompa
Swooping;Styrte inn
The Hamburglar;Ronald McDonald
Tentacle porn;Tentakkelporno
Too much hair gel;For mye hårgele
A look-see;Bare se, ikke røre!
Not giving a shit about the Third World;Ikke bry seg om u-landene
American Gladiators;Paradise Hotell
The Kool-Aid Man;Litago-kua
Mr. Snuffleupagus;Hefalumpen
Barack Obama;Barack Obama
Golden showers;Urinsex
Wiping her butt;Tørke rompa hennes
Queefing;Vaginalflatulens
Getting drunk on mouthwash;Drikke seg full på munnvann
A robust mongoloid;En velbygd mongo
Nazis;Nazister
White privilege;Priviligerte hvite
An erection that lasts longer than four hours;En ereksjon som varer over fire timer
A disappointing birthday party;En skuffende bursdagsfest
Puberty;Puberteten
Two midgets shitting into a bucket;To dverger som bæsjer i en bøtte
Wifely duties;Kvinnens plikter
Getting so angry that you pop a boner;Bli så sint at du får reisning
Sexual tension;Seksuell spenning
A gassy antelope;En prompende antilope
Those times when you get sand in your vagina;Når du får sand i fitta
A Super Soaker full of cat pee;Vannpistol fylt med kattepiss
Muhammad (Praise Be Unto Him);Muhammed (Allahu akbar)
Racially-biased SAT questions;Rasistisk opptaksprøve
Porn stars;Pornostjerner
A fetus;Et foster
Obesity;Fedme
When you fart and a little bit comes out;Når du promper og det lekker litt
Oompa-Loompas;Ompa-Loompaer
BATMAN!!!;BATMAN!!!
Tasteful sideboob;Smakfull sidepupp
Hot people;Heite folk
Grandma;Bestemor
Cooping a feel;Klå på puppene
The Trail of Tears;Kristningen av Norge
Famine;Hungersnød
Finger painting;Fingermaling
The miracle of childbirth;En fantastisk fødsel
Goats eating cans;Gjeiter som spiser blikkbokser
A monkey smoking a cigar;En ape som røyker en sigar
Parting the Red Sea;Delingen av rødehavet
Dead babies;Døde babier
The Amish;Smiths venner
Impotence;Impotens
Child beauty pageants;Skjønnhetskonkurranser for barn
Centaurs;Skinkeryttere
AXE Body Spray;AXE Body Spray
Kanye West;Kanye West
Women's suffrage;Stemmerett for kvinner
Harry Potter erotica;Harry Potter-porno
Lance Armstrong's missing testicle;Testikkelkreft
Dwarf tossing;Dvergkasting
Mathletes;Mattenerder
Lunchables;Barbie-lunchbox
Women in yogurt commercials;Kvinner i yogurt-reklamer
Powerful thighs;Kraftige lår
Multiple stab wounds;Alvorlige stikkskader
Cybernetic enhancements;Kybernestisk protese
Serfdom;Trolldom
Another goddamn vampire movie;Enda en jævla vampyrfilm
Glenn Beck catching his scrotum on a curtain hook;Trond Giske med en gardinkrok i balla
A big hoopla about nothing;Mye ståk og lite ull
Peeing a little bit;Tisse litt
Ghosts;Spøkelser
Bananas in Pajamas;Bananer i pysjamas
Dry heaving;Brekninger
Kamikaze pilots;Kamikazepiloter
The Force;Kraften
Anal beads;Analkuler
;Knut Arild Hareide
;Den sexy kusinen min
;Mamma i undertøyet
;Kim Il Sung
;Kim Jong Un på en hest
;Nord Korea som verdens neste supermakt
;DJ Broiler
;Folk fra Bergen
;Ha sex oppå en pizza
;En mislykket omskjæring
;At alle vennene mine dør
;En politihund
;Homofile romvesener
;Kaste opp under oralsex
;En vagina som leder til ett annet univers
;Hele internett
;Å nyse, fjerte og komme samtidig
;Dverg-sæd
;Melk for homofile
;Siv Jensen
;Satans Strap-On
;Å drite på seg for å komme seg vekk fra en dårlig date
;Sende nakenbilder til mamma
;Penis-implantater
;Misfornøyde Apple-fanboys
;Sex med grønnsaker
;En sadistisk tannlege
;Bruke honning som glidemiddel
;En sexy dverg
;Anal-lekkasje
;Late som du er autistisk
;Bli voldtatt av en elg
;Mannepupper
;Onanere med hurtiglim
;Misforståtte pedofile
;Tone Damli Åberge
